"";"value";"lower";"count"
"527";"voie AJ/16";"voie aj/16";0
"528";"voie AK/16";"voie ak/16";0
"529";"rue Alain Chartier";"rue alain chartier";0
"530";"square Alain Fournier";"square alain fournier";0
"531";"rue Alasseur";"rue alasseur";0
"532";"square Alban Satragne";"square alban satragne";0
"533";"rue Albéric Magnard";"rue albéric magnard";0
"534";"rue Albert";"rue albert";0
"535";"avenue Albert Bartholomé";"avenue albert bartholomé";0
"536";"square Albert Bartholomé";"square albert bartholomé";0
"537";"rue Albert Bayet";"rue albert bayet";0
"538";"rue Albert Camus";"rue albert camus";0
"539";"place Albert Cohen";"place albert cohen";0
"540";"rue Albert de Lapparent";"rue albert de lapparent";0
"541";"avenue Albert De Mun";"avenue albert de mun";0
"542";"rue Albert Einstein";"rue albert einstein";0
"543";"cours Albert Ier";"cours albert ier";0
"544";"avenue Albert Ier de Monaco.";"avenue albert ier de monaco.";0
"545";"place Albert Kahn";"place albert kahn";0
"546";"place Albert Londres";"place albert londres";0
"547";"rue Albert Malet";"rue albert malet";0
"548";"rue Albert Marquet";"rue albert marquet";0
"549";"villa Albert Robida";"villa albert robida";0
"550";"rue Albert Roussel";"rue albert roussel";0
"551";"rue Albert Samain";"rue albert samain";0
"552";"rue Albert Sorel";"rue albert sorel";0
"553";"rue Albert Thomas";"rue albert thomas";0
"554";"rue Albert Willemetz";"rue albert willemetz";0
"555";"square Albin Cachot";"square albin cachot";0
"556";"rue Albin Haller";"rue albin haller";0
"557";"rue Albinoni";"rue albinoni";0
"558";"square Alboni";"square alboni";0
"559";"rue de l'Alboni";"rue de l'alboni";0
"560";"rue d'Alembert";"rue d'alembert";0
"561";"rue d'Alençon";"rue d'alençon";0
"562";"villa d'Alésia";"villa d'alésia";0
"563";"rue Alexander Fleming";"rue alexander fleming";0
"564";"passage Alexandre";"passage alexandre";0
"565";"rue Alexandre Cabanel";"rue alexandre cabanel";0
